Parcel,Address,Property Class,Property Use,Assessment Area,Current Year Land Value,Current Year Improvement Value,Current Year Total Value,Previous Year Land Value,Previous Year Improvment Value,Previous Year Total Value,Net Taxes,Special Assessment,Other Charges,Total Taxes,Zoning 1,Zoning 2,Zoning 3,Zoning 4,Lot Size Sq Ft,Frontage Street,Frontage Street Feet,Water Frontage,TIF District,School District,Elementary School,Middle School,High School,Ward,State Assembly District,Refuse District,Collection Schedule URL,Home Style,Year Built,Stories,Dwelling Units,Bedrooms,Full Baths,Half Baths,Fireplaces,Central Air,First Floor Living Area,Second Floor Living Area,Third Floor Living Area,Above Third Floor Living Area,Total Living Area,Finished Attic,Finished Basement,Total Basement,Crawl Space,Exterior Wall 1,Exterior Wall 2,Foundation,Roof,Roof Replaced Year,Garage 1,Garage Stalls 1,Garage2,Garage Stalls 2,Driveway,Shared Drive,Legal Description,Other Structure 1,Other Structure 1 Sq Ft,Other Structure 2,Other Structure 2 Sq Ft,Other Structure 3,Other Structure 3 Sq Ft,Other Structure 4,Other Structure 4 Sq Ft,Other Structure 5,Other Structure 5 Sq Ft,Other Structure 6,Other Structure 6 Sq Ft,Additional Buildings,Notation Parcel,Lot,Block
070929216252,454 Charles Ln,Residential,Single family,57,$69900.00,$246100.00,$316000.00,$67900.00,$238900.00,$306800.00,$7223.60,$76.62,$0.00,$7300.22,SR-C1,,,,10074,Charles Ln,73,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Cape Cod,1954,1.5,1,4,2,0,1,true,1299,700,0,0,1999,0,0,999,0,Wood,Masonry Facing,Concrete,Asphalt,2006,Attached,2,,0,Concrete,false,OAK PARK HEIGHTS E 1/2 OF N 1/2 OF LOT 24,Deck,300,Deck,101,,0,,0,,0,,0,false,070929216252,0,0
070929216260,450 Charles Ln,Residential,Single family,57,$70000.00,$240100.00,$310100.00,$68000.00,$233100.00,$301100.00,$7085.51,$46.43,$0.00,$7131.94,SR-C1,,,,10074,Charles Ln,73,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Cape Cod,1956,1.5,1,3,1,1,2,true,1032,600,0,0,1632,0,356,744,0,Wood,,Concrete,Asphalt,2010,Attached,1.5,,0,Asphalt,false,OAK PARK HEIGHTS S 1/2 OF E 1/2 OF LOT 23,Deck,275,,0,,0,,0,,0,,0,false,070929216260,0,0
070929216278,446 Charles Ln,Residential,Single family,57,$70900.00,$205400.00,$276300.00,$68800.00,$199500.00,$268300.00,$6290.89,$0.00,$0.00,$6290.89,SR-C1,,,,10074,Charles Ln,73,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Cape Cod,1954,2,1,3,1,1,1,true,1028,600,0,0,1628,0,330,760,0,Wood,Masonry Facing,Concrete,Asphalt,1994,Attached,1,,0,Concrete,false,OAK PARK HEIGHTS N 1/2 OF E 1/2 OF LOT 23,Deck,170,,0,,0,,0,,0,,0,false,070929216278,0,0
070929216286,442 Charles Ln,Residential,Single family,57,$70000.00,$187900.00,$257900.00,$68000.00,$182400.00,$250400.00,$5857.23,$0.00,$0.00,$5857.23,SR-C1,,,,10074,Charles Ln,73,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1954,2,1,4,1,1,1,true,768,832,0,0,1600,0,0,744,0,Wood,Masonry Facing,Concrete,Asphalt,2001,Detached,2,,0,Concrete,false,OAK PARK HEIGHTS S 1/2 OF E 1/2 OF LOT 22,Screen Porch,176,Patio,135,,0,,0,,0,,0,false,070929216286,0,0
070929217010,4603 Keating Ter,Residential,Single family,57,$80300.00,$166100.00,$246400.00,$78000.00,$161200.00,$239200.00,$5585.90,$0.00,$0.00,$5585.90,SR-C1,,,,10965,Keating Ter,137,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1951,1,1,3,1,1,1,true,1431,0,0,0,1431,0,0,1431,0,Wood,Masonry Facing,Concrete,Asphalt,2012,Attached,2,,0,Concrete,false,OAK PARK HTS. E 1/2 LOT 9 EXC S 65 FT,Encl Porch,120,,0,,0,,0,,0,,0,false,070929217010,0,0
070929217028,4609 Keating Ter,Residential,Single family,57,$111200.00,$222600.00,$333800.00,$108000.00,$216100.00,$324100.00,$7642.71,$0.00,$0.00,$7642.71,SR-C1,,,,19870,Keating Ter,137,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Cape Cod,1952,1.5,1,3,2,1,1,true,1285,528,0,0,1813,0,462,840,179,Wood,,Concrete,Asphalt,2007,Detached,2,,0,Asphalt,false,OAK PARK HEIGHTS W 1/2 OF LOT 9,Deck,223,,0,,0,,0,,0,,0,false,070929217028,0,0
070929217036,449 Charles Ln,Residential,Single family,57,$81500.00,$143900.00,$225400.00,$79100.00,$145200.00,$224300.00,$5224.93,$0.00,$186.32,$5411.25,SR-C1,,,,11264,Charles Ln,82.23,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1952,1,1,3,2,0,1,true,1418,0,0,0,1418,0,0,1152,0,Wood,,Concrete,Asphalt,1998,Detached,2,,0,Concrete,false,"CERTIFIED SURVEY MAP NO 5447, RECORDED   IN DANE COUNTY REGISTER OF DEEDS IN VOL  24 PAGE 419 OF CERTIFIED SURVEYS. LOT 2",Encl Porch,176,,0,,0,,0,,0,,0,false,070929217036,0,0
070929217044,453 Charles Ln,Residential,Single family,57,$70500.00,$162900.00,$233400.00,$68400.00,$158200.00,$226600.00,$5280.65,$0.00,$0.00,$5280.65,SR-C1,,,,10001,Charles Ln,73.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,0,1,true,1317,0,0,0,1317,0,0,1291,0,Wood,,Concrete,Asphalt,2002,Attached,1,,0,Asphalt,false,"OAK PARK HEIGHTS W 1/2 OF N 1/2 OF LOT 1 1, LOT 11",Enc-Fin Porch,192,Patio,140,,0,,0,,0,,0,false,070929217044,0,0
070929217052,457 Charles Ln,Residential,Single family,57,$71300.00,$199800.00,$271100.00,$69200.00,$194000.00,$263200.00,$6167.33,$0.00,$0.00,$6167.33,SR-C1,,,,10001,Charles Ln,73.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1956,1,1,3,1,1,1,true,1530,0,0,0,1530,0,702,1241,289,Aluminum/Vinyl,,Concrete,Asphalt,2003,Attached,1,,0,Concrete,false,OAK PARK HEIGHTS S 1/2 OF W 1/2 OF LOT 1 1,Open Porch,121,Deck,228,,0,,0,,0,,0,false,070929217052,0,0
070929217060,461 Charles Ln,Residential,Single family,57,$70500.00,$159700.00,$230200.00,$68400.00,$155100.00,$223500.00,$5205.55,$0.00,$0.00,$5205.55,SR-C1,,,,10001,Charles Ln,73.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,1,1,true,1413,0,0,0,1413,0,0,1061,0,Aluminum/Vinyl,,Concrete,Asphalt,2002,Attached,1,,0,Concrete,false,"OAK PARK HEIGHTS SUBDIVISION OF LOT 12, LOT 101",Patio,162,,0,,0,,0,,0,,0,false,070929217060,0,0
070929217078,465 Charles Ln,Residential,Single family,57,$68600.00,$131100.00,$199700.00,$66600.00,$127300.00,$193900.00,$4488.45,$0.00,$0.00,$4488.45,SR-C1,,,,10001,Charles Ln,73.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1952,1,1,3,1,0,0,true,1017,0,0,0,1017,0,0,1017,0,Aluminum/Vinyl,,Concrete,Asphalt,1952,Attached,1,,0,Concrete,false,"OAK PARK HEIGHTS ASSESSOR'S PLAT #3 SUBD OF LOT 12, LOT 102",Screen Porch,126,,0,,0,,0,,0,,0,false,070929217078,0,0
070929217086,469 Charles Ln,Residential,Single family,57,$70000.00,$135900.00,$205900.00,$68000.00,$131900.00,$199900.00,$4633.81,$0.00,$0.00,$4633.81,SR-C1,,,,9999,Charles Ln,73.2,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,0,0,true,971,0,0,0,971,0,260,971,0,Aluminum/Vinyl,,Concrete,Asphalt,1954,Attached,1,,0,Concrete,false,OAK PARK HEIGHTS N 1/2 OF W 1/2 LOT 13,,0,,0,,0,,0,,0,,0,false,070929217086,0,0
070929217094,473 Charles Ln,Residential,Single family,57,$70000.00,$133000.00,$203000.00,$68000.00,$129100.00,$197100.00,$4565.97,$0.00,$0.00,$4565.97,SR-C1,,,,9999,Charles Ln,73.2,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,0,0,false,1008,0,0,0,1008,0,0,1008,0,Aluminum/Vinyl,,Concrete,Asphalt,2006,Detached,1,,0,Concrete,false,OAK PARK HEIGHTS S 1/2 OF W 1/2  LOT 13,Patio,270,,0,,0,,0,,0,,0,false,070929217094,0,0
070929217101,477 Charles Ln,Residential,Single family,57,$70000.00,$204100.00,$274100.00,$68000.00,$198100.00,$266100.00,$6237.59,$0.00,$0.00,$6237.59,SR-C1,,,,9999,Charles Ln,73.2,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1953,1,1,4,1,0,0,true,1612,0,0,0,1612,0,504,1002,0,Aluminum/Vinyl,,Concrete Block,Asphalt,2007,Basement,2,,0,Concrete,false,OAK PARK HEIGHTS N 1/2 OF W 1/2 OF LOT 14,Deck,143,,0,,0,,0,,0,,0,false,070929217101,0,0
070929217119,481 Charles Ln,Residential,Single family,57,$70000.00,$146500.00,$216500.00,$68000.00,$142200.00,$210200.00,$4883.34,$43.86,$1162.32,$6089.52,SR-C1,,,,9999,Charles Ln,73.2,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,0,1,true,1168,0,0,0,1168,0,324,960,0,Wood,Masonry Facing,Concrete,Asphalt,1954,Detached,2,,0,Asphalt,false,OAK PARK HEIGHTS S 1/2 OF W 1/2 OF LOT 14,Deck,224,,0,,0,,0,,0,,0,false,070929217119,0,0
070929217127,4614 Ames St,Residential,Single family,57,$96900.00,$160600.00,$257500.00,$94100.00,$155900.00,$250000.00,$5847.54,$0.00,$0.00,$5847.54,SR-C1,,,,14707,Ames St,102,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1955,1,1,3,2,1,2,true,1474,0,0,0,1474,0,640,1474,0,Wood,,Concrete,Asphalt,1955,Attached,1,,0,Asphalt,false,"OAK PARK HEIGHTS, W 102 FT OF LOT 15,    EXC THAT PRT USED FOR STR ROW DESC AS    FOL: BEG AT SW COR SD LOT 15,            TH N 00 DEG 21 MIN 05 SEC W 14.95 FT TO  PT OF CUR, TH ON CUR TO LEFT, RAD 15 FT, CHRD BRS S 45 DEG 14 MIN 55 SEC E 21.18  FT, TH S 89 DEG 51 DEG 15 MIN W 14.95 FT TO POB.",Patio,400,,0,,0,,0,,0,,0,false,070929217127,0,0
070929217135,4606 Ames St,Residential,Single family,57,$99600.00,$158400.00,$258000.00,$96700.00,$153800.00,$250500.00,$5859.66,$0.00,$221.17,$6080.83,SR-C1,,,,14655,Ames St,101.09,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Cape Cod,1951,1.5,1,3,1,1,1,true,795,450,0,0,1245,0,202,768,0,Wood,,Concrete,Asphalt,2006,Attached,1,,0,Concrete,false,LOT 1 OF CERTIFIED SURVEY MAP #240 RECORDED IN DANE CO REGISTER OF DEEDS IN VOL 1 PAGE 240 OF CERTIFIED SURVEYS.,Screen Porch,112,Patio,532,,0,,0,,0,,0,false,070929217135,0,0
070929217143,486 Woodside Ter,Residential,Single family,57,$70000.00,$243400.00,$313400.00,$68000.00,$236300.00,$304300.00,$7163.03,$0.00,$0.00,$7163.03,SR-C1,,,,10164,Woodside Ter,145.2,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1968,2,1,4,2,1,2,true,952,952,0,0,1904,0,575,952,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2004,Attached,2,,0,Concrete,false,"LOT 2 OF CERTIFIED SURVEY MAP # 240, REC ORDED IN DANE CO. REGISTER OF DEEDS IN V OL 1 PAGE 240 OF CERTIFIED SURVEYS EXCEP T - BEG SE COR, TH N 15.03 FT ALG E LINE TO PT OF CURVE, TH ON CURVE TO RT, RAD   15 FT, L. C. BEARS S 44 DEG 46 MIN 38 SE C W 21.24 FT TO A PT IN S LINE, TH E 15. 03 FT ALG S LINE TO POB AS DESC IN DOC 1186485 RECORDED JUNE 9, 1967 FOR RIGHT-OF-WAY.",Open Porch,220,Open Porch,93,,0,,0,,0,,0,false,070929217143,0,0
070929217151,482 Woodside Ter,Residential,Single family,57,$74100.00,$182800.00,$256900.00,$71900.00,$177500.00,$249400.00,$5833.01,$0.00,$0.00,$5833.01,SR-C1,,,,9999,Woodside Ter,73.2,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Split-level,1955,1,1,3,1,1,1,true,1440,0,0,0,1440,0,0,1440,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,1955,Basement,2,,0,Concrete,false,OAK PARK HEIGHTS E 136.7 FT OF S 73.2 FT OF LOT 14,,0,,0,,0,,0,,0,,0,false,070929217151,0,0
070929217169,478 Woodside Ter,Residential,Single family,57,$74100.00,$142300.00,$216400.00,$71900.00,$138200.00,$210100.00,$4880.91,$0.00,$0.00,$4880.91,SR-C1,,,,9999,Woodside Ter,73.2,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1955,1,1,4,1,1,1,false,1288,0,0,0,1288,0,518,1288,0,Wood,,Concrete,Asphalt,1955,Detached,1.5,,0,Concrete,false,OAK PARK HEIGHTS N 1/2 OF E 1/2 OF LOT 14,Open Porch,143,,0,,0,,0,,0,,0,false,070929217169,0,0
070929217177,474 Woodside Ter,Residential,Single family,57,$74100.00,$133100.00,$207200.00,$71900.00,$129300.00,$201200.00,$4796.69,$0.00,$0.00,$4796.69,SR-C1,,,,9999,Woodside Ter,73.2,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,0,0,true,1049,0,0,0,1049,0,425,1049,0,Aluminum/Vinyl,,Concrete,Asphalt,1954,Attached,1,,0,Concrete,false,OAK PARK HEIGHTS S 1/2 OF E 1/2 LOT 13,,0,,0,,0,,0,,0,,0,false,070929217177,0,0
070929217185,470 Woodside Ter,Residential,Single family,57,$71300.00,$137300.00,$208600.00,$69200.00,$133300.00,$202500.00,$4696.79,$0.00,$0.00,$4696.79,SR-C1,,,,9999,Woodside Ter,73.2,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,0,0,true,1019,0,0,0,1019,0,350,1019,0,Aluminum/Vinyl,,Concrete,Asphalt,2001,Detached,2,,0,Concrete,false,OAK PARK HEIGHTS N 1/2 OF E 1/2 LOT 13,Patio,112,Deck,196,,0,,0,,0,,0,false,070929217185,0,0
070929217193,466 Woodside Ter,Residential,Single family,57,$71300.00,$201000.00,$272300.00,$69200.00,$195200.00,$264400.00,$6196.40,$0.00,$0.00,$6196.40,SR-C1,,,,10001,Woodside Ter,73.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,4,2,1,0,true,2194,0,0,0,2194,0,296,2194,0,Aluminum/Vinyl,,Concrete,Asphalt,1954,Detached,2,,0,Concrete,false,"OAK PARK HEIGHTS SUBD OF LOT 12, LOT 103",Deck,240,,0,,0,,0,,0,,0,false,070929217193,0,0
070929217200,462 Woodside Ter,Residential,Single family,57,$74100.00,$201200.00,$275300.00,$71900.00,$195400.00,$267300.00,$6398.05,$0.00,$0.00,$6398.05,SR-C1,,,,10001,Woodside Ter,73.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1954,2,1,5,2,1,1,true,864,768,0,0,1632,0,322,624,0,Aluminum/Vinyl,,Concrete,Asphalt,2008,Attached,1,,0,Concrete,false,"OAK PARK HEIGHTS SUBD OF LOT 12, LOT 104",,0,,0,,0,,0,,0,,0,false,070929217200,0,0
070929217218,458 Woodside Ter,Residential,Single family,57,$74100.00,$128900.00,$203000.00,$71900.00,$125200.00,$197100.00,$4565.97,$0.00,$0.00,$4565.97,SR-C1,,,,10001,Woodside Ter,73.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,2,0,1,false,1073,0,0,0,1073,0,0,1073,0,Wood,,Concrete,Asphalt,2011,Attached,1,,0,Asphalt,false,"OAK PARK HEIGHTS SE 1/4 OF, LOT 11",,0,,0,,0,,0,,0,,0,false,070929217218,0,0
070929217226,454 Woodside Ter,Residential,Single family,57,$74100.00,$169300.00,$243400.00,$71900.00,$164400.00,$236300.00,$5515.64,$0.00,$0.00,$5515.64,SR-C1,,,,10001,Woodside Ter,73.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,1,1,true,1244,0,0,0,1244,0,694,1212,0,Aluminum/Vinyl,,Concrete,Asphalt,2006,Attached,1,,0,Concrete,false,OAK PARK HEIGHTS N 73.1 FT OF LOT 11 EXC W 136.9 FT THEREOF,Enc-Fin Porch,125,,0,,0,,0,,0,,0,false,070929217226,0,0
070929217234,450 Woodside Ter,Residential,Single family,57,$74600.00,$167500.00,$242100.00,$72400.00,$162600.00,$235000.00,$5484.15,$0.00,$0.00,$5484.15,SR-C1,,,,10001,Woodside Ter,73.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,1,2,true,1184,0,0,0,1184,0,391,1184,0,Aluminum/Vinyl,,Concrete,Asphalt,1997,Attached,1,,0,Concrete,false,OAK PARK HEIGHTS SE 1/4 OF LOT 10,Encl Porch,114,Patio,200,,0,,0,,0,,0,false,070929217234,0,0
070929217242,446 Woodside Ter,Residential,Single family,57,$74600.00,$209300.00,$283900.00,$72400.00,$203200.00,$275600.00,$6467.74,$0.00,$0.00,$6467.74,SR-C1,,,,10007,Woodside Ter,73.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1957,1,1,3,1,1,2,true,1491,0,0,0,1491,0,560,1163,328,Aluminum/Vinyl,,Concrete,Asphalt,2012,Attached,1,,0,Concrete,false,OAK PARK HEIGHTS NE 1/4 OF LOT 10,Enc-Fin Porch,224,,0,,0,,0,,0,,0,false,070929217242,0,0
070929217250,442 Woodside Ter,Residential,Single family,57,$65700.00,$194100.00,$259800.00,$63800.00,$188400.00,$252200.00,$5900.84,$0.00,$0.00,$5900.84,SR-C1,,,,8905,Woodside Ter,65,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1957,1,1,3,1,1,1,true,1292,0,0,0,1292,0,0,1292,0,Aluminum/Vinyl,,Concrete,Asphalt,2000,Attached,2,,0,Concrete,false,"TOWN OF MADISON, ASSESSOR'S PLAT NO 3,   OAK PARK HEIGHTS, S 65 FT OF E 1/2 OF    THAT PRT OF LOT 9, LYING W OF WEST ROW   LN WOODSIDE TERRACE.",Encl Porch,195,,0,,0,,0,,0,,0,false,070929217250,0,0
070929217268,445 Charles Ln,Residential,Single family,57,$64900.00,$308700.00,$373600.00,$63000.00,$299700.00,$362700.00,$8577.85,$0.00,$0.00,$8577.85,SR-C1,,,,8765,Charles Ln,64,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1991,2,1,4,2,1,0,true,956,988,0,0,1944,0,50,956,0,Aluminum/Vinyl,,Concrete,Asphalt,2006,Attached,2,,0,Concrete,false,"CERTIFIED SURVEY MAP NO 5447, RECORDED   IN DANE COUNTY REGISTER OF DEEDS IN VOL  24 PAGE 419 OF CERTIFIED SURVEYS. LOT 1",Open Porch,132,,0,,0,,0,,0,,0,false,070929217268,0,0
070929218018,546 Woodside Ter,Residential,Single family,57,$83200.00,$260100.00,$343300.00,$80800.00,$252500.00,$333300.00,$7865.59,$0.00,$0.00,$7865.59,SR-C1,,,,12170,Woodside Ter,122.2,false,0,Madison,Midvale-Lincoln,Opt Cherokee/Hamiltn,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Split-level,1955,1,1,3,3,1,2,true,2246,0,0,0,2246,0,1257,2246,0,Wood,Masonry Facing,Concrete,Asphalt,2010,Basement,2,,0,Concrete,false,OAK PARK HEIGHTS ELY 100 FT OF LOT 21,Encl Porch,138,,0,,0,,0,,0,,0,false,070929218018,0,0
070929218026,538 Woodside Ter,Residential,Single family,57,$122500.00,$113300.00,$235800.00,$118900.00,$110000.00,$228900.00,$5336.37,$0.00,$0.00,$5336.37,SR-C1,,,,19992,Woodside Ter,147,false,0,Madison,Midvale-Lincoln,Opt Cherokee/Hamiltn,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1951,1,1,3,1,1,1,true,1248,0,0,0,1248,0,281,1248,0,Wood,Masonry Facing,Concrete,Asphalt,1951,Attached,2,,0,Concrete,false,OAK PARK HEIGHTS E 1/2 OF LOT 20,Patio,800,,0,,0,,0,,0,,0,false,070929218026,0,0
070929218034,530 Woodside Ter,Residential,Single family,57,$74100.00,$222300.00,$296400.00,$71900.00,$215900.00,$287800.00,$6763.30,$0.00,$0.00,$6763.30,SR-C1,,,,10064,Woodside Ter,73.5,false,0,Madison,Midvale-Lincoln,Opt Cherokee/Hamiltn,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1953,1,1,4,2,0,1,true,1444,0,0,0,1444,0,480,1444,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2014,Attached,2,,0,Concrete,false,OAK PARK HEIGHTS S 1/2 OF E 1/2 OF LOT 19,Encl Porch,120,,0,,0,,0,,0,,0,false,070929218034,0,0
070929218042,526 Woodside Ter,Residential,Single family,57,$74100.00,$139200.00,$213300.00,$71900.00,$135200.00,$207100.00,$4808.24,$0.00,$0.00,$4808.24,SR-C1,,,,10064,Woodside Ter,73.5,false,0,Madison,Midvale-Lincoln,Opt Cherokee/Hamiltn,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1953,1,1,3,1,0,1,true,1232,0,0,0,1232,0,364,1232,0,Wood,Masonry Facing,Concrete,Asphalt,1953,Attached,1,,0,Concrete,false,"OAK PARK HEIGHTS NE 1/4, LOT 19",Screen Porch,163,,0,,0,,0,,0,,0,false,070929218042,0,0
070929218050,522 Woodside Ter,Residential,Single family,57,$74100.00,$154800.00,$228900.00,$71900.00,$150300.00,$222200.00,$5174.05,$0.00,$0.00,$5174.05,SR-C1,,,,10064,Woodside Ter,73.5,false,0,Madison,Midvale-Lincoln,Opt Cherokee/Hamiltn,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1956,1,1,4,1,1,1,false,1344,0,0,0,1344,0,527,1260,0,Wood,Masonry Facing,Concrete,Asphalt,1956,Attached,1,,0,Concrete,false,OAK PARK HEIGHTS S 1/2 OF E 1/2 OF LOT 18,,0,,0,,0,,0,,0,,0,false,070929218050,0,0
070929218068,518 Woodside Ter,Residential,Single family,57,$74100.00,$177600.00,$251700.00,$71900.00,$172500.00,$244400.00,$5711.88,$0.00,$0.00,$5711.88,SR-C1,,,,10064,Woodside Ter,73.5,false,0,Madison,Midvale-Lincoln,Opt Cherokee/Hamiltn,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1956,1,1,2,2,0,1,true,1284,0,0,0,1284,0,680,1176,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,1998,Attached,1,,0,Concrete,false,OAK PARK HEIGHTS N 1/2 OF E 1/2 OF LOT 18,Shed,120,,0,,0,,0,,0,,0,false,070929218068,0,0
070929218076,514 Woodside Ter,Residential,Single family,57,$74800.00,$197700.00,$272500.00,$72600.00,$192000.00,$264600.00,$6332.64,$0.00,$0.00,$6332.64,SR-C1,,,,10064,Woodside Ter,73.5,false,0,Madison,Midvale-Lincoln,Opt Cherokee/Hamiltn,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1953,1,1,3,1,1,0,true,1636,0,0,0,1636,0,309,1216,0,Aluminum/Vinyl,,Concrete Block,Asphalt,2006,Attached,2,,0,Concrete,false,OAK PARK HEIGHTS SE 1/4 OF LOT 17,Deck,200,,0,,0,,0,,0,,0,false,070929218076,0,0
070929218084,510 Woodside Ter,Residential,Single family,57,$74100.00,$154800.00,$228900.00,$71900.00,$150300.00,$222200.00,$5174.05,$0.00,$0.00,$5174.05,SR-C1,,,,10064,Woodside Ter,73.5,false,0,Madison,Midvale-Lincoln,Opt Cherokee/Hamiltn,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1953,2,1,3,1,1,0,false,628,768,0,0,1396,0,198,588,0,Aluminum/Vinyl,,Concrete,Asphalt,2004,Attached,1,,0,Concrete,false,OAK PARK HEIGHTS NE 1/4 OF LOT 17,Encl Porch,120,,0,,0,,0,,0,,0,false,070929218084,0,0
070929218092,506 Woodside Ter,Residential,Single family,57,$74100.00,$153100.00,$227200.00,$71900.00,$148700.00,$220600.00,$5135.29,$0.00,$174.49,$5309.78,SR-C1,,,,10064,Woodside Ter,73.5,false,0,Madison,Midvale-Lincoln,Opt Cherokee/Hamiltn,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1953,1,1,3,1,0,2,true,1360,0,0,0,1360,0,343,968,0,Wood,,Concrete,Asphalt,2004,Attached,1,,0,Concrete,false,"OAK PARK HEIGHT, S 73.5 FT OF E 1/2 OF LOT 16",,0,,0,,0,,0,,0,,0,false,070929218092,0,0
